trading_time,symbol,ltp,volume,num_trades
2025-08-05 09:15:00,HDFCLIFE,759.8,2210684,54764
2025-08-05 09:15:05,HDFCLIFE,757.05,1423219,60762
2025-08-05 09:15:10,HDFCLIFE,752.4,1797969,56070
2025-08-05 09:15:15,HDFCLIFE,737.65,1988095,70677
2025-08-05 09:15:20,HDFCLIFE,741.45,2555375,68425
2025-08-05 09:15:25,HDFCLIFE,741.95,1697685,55148
2025-08-05 09:15:30,HDFCLIFE,757,1783473,81297
2025-08-05 09:15:35,HDFCLIFE,755.5,2011152,76042
2025-08-05 09:15:40,HDFCLIFE,756.5,1129341,49692
2025-08-05 09:15:45,HDFCLIFE,761.4,1509806,59322
2025-08-05 09:15:50,HDFCLIFE,760.1,1708286,55080
2025-08-05 09:15:55,HDFCLIFE,758.15,1258684,59708
2025-08-05 09:16:00,HDFCLIFE,762.65,1312711,41508
2025-08-05 09:16:05,HDFCLIFE,762.55,4334529,87026
2025-08-05 09:16:10,HDFCLIFE,751.9,2073697,51787
2025-08-05 09:16:15,HDFCLIFE,738.45,3450063,74623
2025-08-05 09:16:20,HDFCLIFE,751.5,4378210,82802
2025-08-05 09:16:25,HDFCLIFE,755.1,6273181,96124
2025-08-05 09:16:30,HDFCLIFE,757.9,2842400,77775
2025-08-05 09:16:35,HDFCLIFE,767,1794592,42293
2025-08-05 09:16:40,HDFCLIFE,757.75,3508424,62521
2025-08-05 09:16:45,HDFCLIFE,770.15,2602721,95080
2025-08-05 09:16:50,HDFCLIFE,785.6,2165913,53953
2025-08-05 09:16:55,HDFCLIFE,794.35,5033587,76554
2025-08-05 09:17:00,HDFCLIFE,789.35,2169992,56811
2025-08-05 09:17:05,HDFCLIFE,784.55,1536851,48060
2025-08-05 09:17:10,HDFCLIFE,783.9,3442861,111994
2025-08-05 09:17:15,HDFCLIFE,789.1,3248677,119358
2025-08-05 09:17:20,HDFCLIFE,810.2,2596888,114920
2025-08-05 09:17:25,HDFCLIFE,812.7,2971593,117994
2025-08-05 09:17:30,HDFCLIFE,804.95,17236651,143740
2025-08-05 09:17:35,HDFCLIFE,800.1,4290163,104305
2025-08-05 09:17:40,HDFCLIFE,786,2733266,66189
2025-08-05 09:17:45,HDFCLIFE,779,1965197,51907
2025-08-05 09:17:50,HDFCLIFE,773.65,1848140,56305
2025-08-05 09:17:55,HDFCLIFE,778,5256299,89710
2025-08-05 09:18:00,HDFCLIFE,759.8,3059158,93032
2025-08-05 09:18:05,HDFCLIFE,765.45,1059077,45780
2025-08-05 09:18:10,HDFCLIFE,773,1899985,50387
2025-08-05 09:18:15,HDFCLIFE,770.5,2304692,59426
2025-08-05 09:18:20,HDFCLIFE,752,1490695,43398
2025-08-05 09:18:25,HDFCLIFE,754.5,1600355,71265
2025-08-05 09:18:30,HDFCLIFE,763.5,1530367,50987
2025-08-05 09:18:35,HDFCLIFE,762.2,2167862,61945
2025-08-05 09:18:40,HDFCLIFE,760,3151657,80043
2025-08-05 09:18:45,HDFCLIFE,755,1215092,39045
2025-08-05 09:18:50,HDFCLIFE,761,1638871,48407
2025-08-05 09:18:55,HDFCLIFE,758.1,2322495,58809
2025-08-05 09:19:00,HDFCLIFE,758,3357675,69186
2025-08-05 09:19:05,HDFCLIFE,765,3456222,86317
2025-08-05 09:19:10,HDFCLIFE,776.25,3184086,63349
2025-08-05 09:19:15,HDFCLIFE,781,2916417,66108
2025-08-05 09:19:20,HDFCLIFE,787.55,4163057,75055
2025-08-05 09:19:25,HDFCLIFE,776,3472288,67184
2025-08-05 09:19:30,HDFCLIFE,780,2343463,58425
2025-08-05 09:19:35,HDFCLIFE,780.65,4511523,82131
2025-08-05 09:19:40,HDFCLIFE,757.6,2391952,67897
2025-08-05 09:19:45,HDFCLIFE,758,1928533,51619
2025-08-05 09:19:50,HDFCLIFE,747.25,2191829,64451
2025-08-05 09:19:55,HDFCLIFE,749.45,1187450,38696
2025-08-05 09:20:00,HDFCLIFE,748.65,1426234,43247
2025-08-05 09:20:05,HDFCLIFE,748.65,3338741,105170
2025-08-05 09:20:10,HDFCLIFE,741,2058831,62944
2025-08-05 09:20:15,HDFCLIFE,735.3,1445358,72517
2025-08-05 09:20:20,HDFCLIFE,733.65,1488045,55032
2025-08-05 09:20:25,HDFCLIFE,716.45,3210705,80101
2025-08-05 09:20:30,HDFCLIFE,718.05,3057761,81929
2025-08-05 09:20:35,HDFCLIFE,721.4,1657343,58325
2025-08-05 09:20:40,HDFCLIFE,723,1498360,63756
2025-08-05 09:20:45,HDFCLIFE,738,2761798,50082
2025-08-05 09:20:50,HDFCLIFE,726.5,3286801,103466
2025-08-05 09:20:55,HDFCLIFE,745,8732964,185049
2025-08-05 09:21:00,HDFCLIFE,715,2545118,73402
2025-08-05 09:21:05,HDFCLIFE,707.65,1944250,62876
2025-08-05 09:21:10,HDFCLIFE,702.7,3714671,83753
2025-08-05 09:21:15,HDFCLIFE,705,3814638,89289
2025-08-05 09:21:20,HDFCLIFE,708.2,2091384,67663
2025-08-05 09:21:25,HDFCLIFE,708.6,2669384,75038
2025-08-05 09:21:30,HDFCLIFE,712,6168127,122923
2025-08-05 09:21:35,HDFCLIFE,719,3105731,110298
2025-08-05 09:21:40,HDFCLIFE,717,3452538,94375
2025-08-05 09:21:45,HDFCLIFE,705.35,2306442,92660
2025-08-05 09:21:50,HDFCLIFE,684.8,3264303,96854
2025-08-05 09:21:55,HDFCLIFE,685.5,3054715,85553
2025-08-05 09:22:00,HDFCLIFE,685,3279965,81267
2025-08-05 09:22:05,HDFCLIFE,667.25,3861746,124294
2025-08-05 09:22:10,HDFCLIFE,685.9,3867188,65940
2025-08-05 09:22:15,HDFCLIFE,692.45,1353987,47622
2025-08-05 09:22:20,HDFCLIFE,694.05,3047499,105788
2025-08-05 09:22:25,HDFCLIFE,693,4620146,100236
2025-08-05 09:22:30,HDFCLIFE,684,3116601,84133
2025-08-05 09:22:35,HDFCLIFE,682,5951034,134010
2025-08-05 09:22:40,HDFCLIFE,671.15,2231203,102998
2025-08-05 09:22:45,HDFCLIFE,672.9,2019661,56290
2025-08-05 09:22:50,HDFCLIFE,681,1401023,49932
2025-08-05 09:22:55,HDFCLIFE,680.95,3725271,80959
2025-08-05 09:23:00,HDFCLIFE,672.1,4425855,96913
2025-08-05 09:23:05,HDFCLIFE,665.1,2470532,59848
2025-08-05 09:23:10,HDFCLIFE,640,2094678,52360
2025-08-05 09:23:15,HDFCLIFE,629.3,1075113,37055
2025-08-05 09:23:20,HDFCLIFE,620.65,2211232,71075
2025-08-05 09:23:25,HDFCLIFE,631.8,2704337,75264
2025-08-05 09:23:30,HDFCLIFE,636.25,2677293,78008
2025-08-05 09:23:35,HDFCLIFE,623.2,2316148,92941
2025-08-05 09:23:40,HDFCLIFE,625.3,3169440,92283
2025-08-05 09:23:45,HDFCLIFE,617.1,2491123,98117
2025-08-05 09:23:50,HDFCLIFE,618.15,2661830,48099
2025-08-05 09:23:55,HDFCLIFE,616,3262295,70668
2025-08-05 09:24:00,HDFCLIFE,618.8,3624490,110919
2025-08-05 09:24:05,HDFCLIFE,609.5,5013148,135186
2025-08-05 09:24:10,HDFCLIFE,615,1831493,74038
2025-08-05 09:24:15,HDFCLIFE,620,1606709,44404
2025-08-05 09:24:20,HDFCLIFE,617.75,983443,42718
2025-08-05 09:24:25,HDFCLIFE,622.5,1627631,59167
2025-08-05 09:24:30,HDFCLIFE,620.4,2881981,67736
2025-08-05 09:24:35,HDFCLIFE,623,2007325,61497
2025-08-05 09:24:40,HDFCLIFE,618.7,1887686,76295
2025-08-05 09:24:45,HDFCLIFE,624,1860572,68311
2025-08-05 09:24:50,HDFCLIFE,624.95,1693078,56209
2025-08-05 09:24:55,HDFCLIFE,629.3,2808139,96311
2025-08-05 09:25:00,HDFCLIFE,628.85,3378279,87765
2025-08-05 09:25:05,HDFCLIFE,620.2,2327875,69162
2025-08-05 09:25:10,HDFCLIFE,634,3394573,98246
2025-08-05 09:25:15,HDFCLIFE,637.1,2538330,76073
2025-08-05 09:25:20,HDFCLIFE,634,4837012,142226
2025-08-05 09:25:25,HDFCLIFE,626.5,4467504,78348
2025-08-05 09:25:30,HDFCLIFE,626,3244955,55542
2025-08-05 09:25:35,HDFCLIFE,622,3293387,71843
2025-08-05 09:25:40,HDFCLIFE,625,10039413,193732
2025-08-05 09:25:45,HDFCLIFE,638.85,1012392,42673
2025-08-05 09:25:50,HDFCLIFE,635,2899445,64602
2025-08-05 09:25:55,HDFCLIFE,628.15,2005819,59971
2025-08-05 09:26:00,HDFCLIFE,612,2662789,90523
