trading_time,symbol,ltp,volume,num_trades
2025-08-05 09:15:00,ICICI,1432,5415511,102913
2025-08-05 09:15:05,ICICI,1441,7432535,151043
2025-08-05 09:15:10,ICICI,1443.5,7805252,121663
2025-08-05 09:15:15,ICICI,1445,14799343,156234
2025-08-05 09:15:20,ICICI,1463.1,6140054,135797
2025-08-05 09:15:25,ICICI,1470.1,4416771,142277
2025-08-05 09:15:30,ICICI,1485.1,12406146,306162
2025-08-05 09:15:35,ICICI,1480.1,7238625,176359
2025-08-05 09:15:40,ICICI,1484.9,9776027,230759
2025-08-05 09:15:45,ICICI,1488,7507479,199416
2025-08-05 09:15:50,ICICI,1477.9,8696077,193064
2025-08-05 09:15:55,ICICI,1480.9,6700578,137503
2025-08-05 09:16:00,ICICI,1486.6,11974174,184240
2025-08-05 09:16:05,ICICI,1471.6,8930165,233507
2025-08-05 09:16:10,ICICI,1464.5,13867136,232151
2025-08-05 09:16:15,ICICI,1426.7,11297246,205005
2025-08-05 09:16:20,ICICI,1418.4,12927394,234109
2025-08-05 09:16:25,ICICI,1425.9,5649093,121488
2025-08-05 09:16:30,ICICI,1432,6041457,175820
2025-08-05 09:16:35,ICICI,1421.9,5846154,113668
2025-08-05 09:16:40,ICICI,1422,7158015,154732
2025-08-05 09:16:45,ICICI,1424,7795964,158233
2025-08-05 09:16:50,ICICI,1430.8,8827347,120088
2025-08-05 09:16:55,ICICI,1443,5315847,123124
2025-08-05 09:17:00,ICICI,1435.9,5177477,127818
2025-08-05 09:17:05,ICICI,1443,5066503,127265
2025-08-05 09:17:10,ICICI,1427,10177738,181095
2025-08-05 09:17:15,ICICI,1427.8,13372280,213176
2025-08-05 09:17:20,ICICI,1431.7,7761449,185345
2025-08-05 09:17:25,ICICI,1449,6325073,187773
2025-08-05 09:17:30,ICICI,1457.9,22532899,217058
2025-08-05 09:17:35,ICICI,1440,13617435,220490
2025-08-05 09:17:40,ICICI,1424.5,7527388,147548
2025-08-05 09:17:45,ICICI,1424,11188438,188014
2025-08-05 09:17:50,ICICI,1419.1,5514384,160229
2025-08-05 09:17:55,ICICI,1426.4,12408178,160865
2025-08-05 09:18:00,ICICI,1410,8849883,342983
2025-08-05 09:18:05,ICICI,1413,6751745,162388
2025-08-05 09:18:10,ICICI,1422,6970098,193761
2025-08-05 09:18:15,ICICI,1427.9,5451137,89237
2025-08-05 09:18:20,ICICI,1417.7,7573103,188584
2025-08-05 09:18:25,ICICI,1424.5,7953247,184161
2025-08-05 09:18:30,ICICI,1430.3,7136877,234139
2025-08-05 09:18:35,ICICI,1421.8,12905272,376346
2025-08-05 09:18:40,ICICI,1434.5,11022031,337749
2025-08-05 09:18:45,ICICI,1460,11580994,215279
2025-08-05 09:18:50,ICICI,1456.3,11385668,176086
2025-08-05 09:18:55,ICICI,1431.1,8025388,147312
2025-08-05 09:19:00,ICICI,1437,11167345,225871
2025-08-05 09:19:05,ICICI,1447.7,9458990,178241
2025-08-05 09:19:10,ICICI,1446.1,11803975,155611
2025-08-05 09:19:15,ICICI,1461,15545514,210205
2025-08-05 09:19:20,ICICI,1452.9,8618343,135239
2025-08-05 09:19:25,ICICI,1445.3,14842959,221484
2025-08-05 09:19:30,ICICI,1460.5,5608725,189038
2025-08-05 09:19:35,ICICI,1450.5,5203706,113699
2025-08-05 09:19:40,ICICI,1440,7245933,147665
2025-08-05 09:19:45,ICICI,1445.4,5510460,106396
2025-08-05 09:19:50,ICICI,1439.5,11352383,128816
2025-08-05 09:19:55,ICICI,1447,6005334,139810
2025-08-05 09:20:00,ICICI,1452.4,6439208,145344
2025-08-05 09:20:05,ICICI,1451,18209264,211899
2025-08-05 09:20:10,ICICI,1427.4,8026837,143054
2025-08-05 09:20:15,ICICI,1430.8,12475424,209013
2025-08-05 09:20:20,ICICI,1451.5,9925445,180758
2025-08-05 09:20:25,ICICI,1389,13491197,248736
2025-08-05 09:20:30,ICICI,1427.3,15306490,182407
2025-08-05 09:20:35,ICICI,1437.1,10480453,166481
2025-08-05 09:20:40,ICICI,1430,6301690,133476
2025-08-05 09:20:45,ICICI,1427.4,4565705,115354
2025-08-05 09:20:50,ICICI,1429,10763492,170242
2025-08-05 09:20:55,ICICI,1424.3,14192027,238248
2025-08-05 09:21:00,ICICI,1425.5,10786910,223499
2025-08-05 09:21:05,ICICI,1428,10948561,192819
2025-08-05 09:21:10,ICICI,1403,11705093,234552
2025-08-05 09:21:15,ICICI,1401,15678099,210098
2025-08-05 09:21:20,ICICI,1422,13990764,220724
2025-08-05 09:21:25,ICICI,1414,16135274,275616
2025-08-05 09:21:30,ICICI,1408.1,16882426,291654
2025-08-05 09:21:35,ICICI,1407,17490424,294006
2025-08-05 09:21:40,ICICI,1358,14039073,180990
2025-08-05 09:21:45,ICICI,1350.4,15202603,222333
2025-08-05 09:21:50,ICICI,1312.05,13064247,224885
2025-08-05 09:21:55,ICICI,1304,13005622,237174
2025-08-05 09:22:00,ICICI,1300.05,13085762,171223
2025-08-05 09:22:05,ICICI,1294.1,19185012,515573
2025-08-05 09:22:10,ICICI,1335,8648542,166068
2025-08-05 09:22:15,ICICI,1328.95,4591008,127085
2025-08-05 09:22:20,ICICI,1330.85,8042214,127734
2025-08-05 09:22:25,ICICI,1318.15,14288024,206118
2025-08-05 09:22:30,ICICI,1348,8266544,142133
2025-08-05 09:22:35,ICICI,1339,15109614,187305
2025-08-05 09:22:40,ICICI,1335.45,10859639,197579
2025-08-05 09:22:45,ICICI,1341.95,16419207,326362
2025-08-05 09:22:50,ICICI,1361.2,9352280,203054
2025-08-05 09:22:55,ICICI,1337.95,60494318,344744
2025-08-05 09:23:00,ICICI,1318.55,10886735,252535
2025-08-05 09:23:05,ICICI,1316,11278014,244205
2025-08-05 09:23:10,ICICI,1311.5,15645427,337230
2025-08-05 09:23:15,ICICI,1268.65,11164882,226414
2025-08-05 09:23:20,ICICI,1248.65,8132940,190526
2025-08-05 09:23:25,ICICI,1244.45,11548372,197340
2025-08-05 09:23:30,ICICI,1244.15,10927950,238907
2025-08-05 09:23:35,ICICI,1212.9,7363437,152261
2025-08-05 09:23:40,ICICI,1213.4,6620284,118643
2025-08-05 09:23:45,ICICI,1219.8,11949475,250155
2025-08-05 09:23:50,ICICI,1215,9052846,199811
2025-08-05 09:23:55,ICICI,1212.8,9574490,169550
2025-08-05 09:24:00,ICICI,1208.7,8158881,208311
2025-08-05 09:24:05,ICICI,1201.1,20215075,268866
2025-08-05 09:24:10,ICICI,1220,12008162,234248
2025-08-05 09:24:15,ICICI,1225.8,11059417,199168
2025-08-05 09:24:20,ICICI,1219.7,11522480,206398
2025-08-05 09:24:25,ICICI,1232,7786428,178759
2025-08-05 09:24:30,ICICI,1248.15,8398849,204041
2025-08-05 09:24:35,ICICI,1261.5,10683412,164771
2025-08-05 09:24:40,ICICI,1242.55,8135042,257996
2025-08-05 09:24:45,ICICI,1251.65,8386151,294062
2025-08-05 09:24:50,ICICI,1259,10368438,289728
2025-08-05 09:24:55,ICICI,1248.5,7263785,261567
2025-08-05 09:25:00,ICICI,1252.85,8809352,320587
2025-08-05 09:25:05,ICICI,1248.55,6586627,174408
2025-08-05 09:25:10,ICICI,1259.6,5740361,180650
2025-08-05 09:25:15,ICICI,1257,7382039,191355
2025-08-05 09:25:20,ICICI,1272,8396554,226596
2025-08-05 09:25:25,ICICI,1268.2,6840709,183398
2025-08-05 09:25:30,ICICI,1266.75,14839077,259371
2025-08-05 09:25:35,ICICI,1252.95,6176831,165087
2025-08-05 09:25:40,ICICI,1254.5,3011914,91971
2025-08-05 09:25:45,ICICI,1252.95,10195417,209906
2025-08-05 09:25:50,ICICI,1258.55,11921041,331765
2025-08-05 09:25:55,ICICI,1251.4,7666777,219085
2025-08-05 09:26:00,ICICI,1247.5,18066499,356462
2025-08-05 09:26:05,ICICI,1225.25,16164687,324795
