trading_time,symbol,ltp,volume,num_trades
2025-08-05 09:15:00,SUNPHARMA,1587.8,1654424,67799
2025-08-05 09:15:05,SUNPHARMA,1599.5,3435674,112526
2025-08-05 09:15:10,SUNPHARMA,1593.5,2376257,91874
2025-08-05 09:15:15,SUNPHARMA,1631.9,1622897,83135
2025-08-05 09:15:20,SUNPHARMA,1638.4,1898762,118559
2025-08-05 09:15:25,SUNPHARMA,1629.3,8774548,362608
2025-08-05 09:15:30,SUNPHARMA,1700,3233087,169600
2025-08-05 09:15:35,SUNPHARMA,1736.3,2318723,80072
2025-08-05 09:15:40,SUNPHARMA,1717.8,1325544,53405
2025-08-05 09:15:45,SUNPHARMA,1699,2168507,96153
2025-08-05 09:15:50,SUNPHARMA,1702,1088592,65972
2025-08-05 09:15:55,SUNPHARMA,1692,1079045,66402
2025-08-05 09:16:00,SUNPHARMA,1685,1229173,66722
2025-08-05 09:16:05,SUNPHARMA,1682.9,1244491,57827
2025-08-05 09:16:10,SUNPHARMA,1689.4,2390289,147440
2025-08-05 09:16:15,SUNPHARMA,1694.4,1253929,72733
2025-08-05 09:16:20,SUNPHARMA,1702.5,1461039,118201
2025-08-05 09:16:25,SUNPHARMA,1704,2285143,184052
2025-08-05 09:16:30,SUNPHARMA,1729,3332578,130400
2025-08-05 09:16:35,SUNPHARMA,1681.7,1309704,51067
2025-08-05 09:16:40,SUNPHARMA,1674.3,1298302,63532
2025-08-05 09:16:45,SUNPHARMA,1663.2,1741718,70440
2025-08-05 09:16:50,SUNPHARMA,1665.1,2178705,108925
2025-08-05 09:16:55,SUNPHARMA,1670.8,1860328,82280
2025-08-05 09:17:00,SUNPHARMA,1680.5,1550620,66273
2025-08-05 09:17:05,SUNPHARMA,1675.9,1264399,64590
2025-08-05 09:17:10,SUNPHARMA,1676.4,1553777,73380
2025-08-05 09:17:15,SUNPHARMA,1678.1,1611046,72532
2025-08-05 09:17:20,SUNPHARMA,1666.5,3298070,149658
2025-08-05 09:17:25,SUNPHARMA,1675,2160184,99877
2025-08-05 09:17:30,SUNPHARMA,1692,5313904,98881
2025-08-05 09:17:35,SUNPHARMA,1666.1,2102627,78646
2025-08-05 09:17:40,SUNPHARMA,1669,1372945,67271
2025-08-05 09:17:45,SUNPHARMA,1665,2066326,90398
2025-08-05 09:17:50,SUNPHARMA,1663,840643,46191
2025-08-05 09:17:55,SUNPHARMA,1663.2,2567882,59436
2025-08-05 09:18:00,SUNPHARMA,1644.4,1696525,74612
2025-08-05 09:18:05,SUNPHARMA,1645.3,1455885,78099
2025-08-05 09:18:10,SUNPHARMA,1653.1,5408285,193310
2025-08-05 09:18:15,SUNPHARMA,1679,2249326,69715
2025-08-05 09:18:20,SUNPHARMA,1688,2404272,96514
2025-08-05 09:18:25,SUNPHARMA,1684.7,3588365,144723
2025-08-05 09:18:30,SUNPHARMA,1692,1999978,67440
2025-08-05 09:18:35,SUNPHARMA,1690,2369135,73620
2025-08-05 09:18:40,SUNPHARMA,1693.4,2589656,62270
2025-08-05 09:18:45,SUNPHARMA,1680.9,2500047,98471
2025-08-05 09:18:50,SUNPHARMA,1681,2037073,97217
2025-08-05 09:18:55,SUNPHARMA,1664,1700482,64433
2025-08-05 09:19:00,SUNPHARMA,1667.5,2556920,110838
2025-08-05 09:19:05,SUNPHARMA,1676,1819538,96565
2025-08-05 09:19:10,SUNPHARMA,1674.9,3640641,91398
2025-08-05 09:19:15,SUNPHARMA,1699.5,2377583,126101
2025-08-05 09:19:20,SUNPHARMA,1664,2657712,90629
2025-08-05 09:19:25,SUNPHARMA,1681.5,2800622,134384
2025-08-05 09:19:30,SUNPHARMA,1679.1,2282131,194713
2025-08-05 09:19:35,SUNPHARMA,1689.1,8339783,409880
2025-08-05 09:19:40,SUNPHARMA,1724.7,2670554,88389
2025-08-05 09:19:45,SUNPHARMA,1732,2754306,84640
2025-08-05 09:19:50,SUNPHARMA,1714,2706777,113019
2025-08-05 09:19:55,SUNPHARMA,1729,2074023,105230
2025-08-05 09:20:00,SUNPHARMA,1730,1448249,92593
2025-08-05 09:20:05,SUNPHARMA,1738.3,3880385,146890
2025-08-05 09:20:10,SUNPHARMA,1710.2,1639324,82274
2025-08-05 09:20:15,SUNPHARMA,1702.2,6988329,258135
2025-08-05 09:20:20,SUNPHARMA,1689.9,9221075,278210
2025-08-05 09:20:25,SUNPHARMA,1748,1148956,72955
2025-08-05 09:20:30,SUNPHARMA,1755,2647871,113625
2025-08-05 09:20:35,SUNPHARMA,1780.9,2015237,80343
2025-08-05 09:20:40,SUNPHARMA,1819,1414772,61418
2025-08-05 09:20:45,SUNPHARMA,1834.2,1219830,65058
2025-08-05 09:20:50,SUNPHARMA,1825,2310897,101579
2025-08-05 09:20:55,SUNPHARMA,1821.6,2667314,99419
2025-08-05 09:21:00,SUNPHARMA,1800.2,2886160,125295
2025-08-05 09:21:05,SUNPHARMA,1842.2,3216482,114701
2025-08-05 09:21:10,SUNPHARMA,1781.8,2036801,88999
2025-08-05 09:21:15,SUNPHARMA,1806.9,2101177,82971
2025-08-05 09:21:20,SUNPHARMA,1785.2,1471029,60572
2025-08-05 09:21:25,SUNPHARMA,1748.4,961907,51087
2025-08-05 09:21:30,SUNPHARMA,1746.4,1539511,68239
2025-08-05 09:21:35,SUNPHARMA,1757,2683908,115404
2025-08-05 09:21:40,SUNPHARMA,1691,2205374,106358
2025-08-05 09:21:45,SUNPHARMA,1705.2,1993085,82756
2025-08-05 09:21:50,SUNPHARMA,1687.9,3801939,244225
2025-08-05 09:21:55,SUNPHARMA,1651.75,3481864,152924
2025-08-05 09:22:00,SUNPHARMA,1691,2807382,115400
2025-08-05 09:22:05,SUNPHARMA,1677.1,5715334,221015
2025-08-05 09:22:10,SUNPHARMA,1705,5345276,228975
2025-08-05 09:22:15,SUNPHARMA,1772,5715573,228089
2025-08-05 09:22:20,SUNPHARMA,1713.95,3369489,109070
2025-08-05 09:22:25,SUNPHARMA,1698.3,4142445,177054
2025-08-05 09:22:30,SUNPHARMA,1733.95,1956781,81975
2025-08-05 09:22:35,SUNPHARMA,1734.35,3279881,137932
2025-08-05 09:22:40,SUNPHARMA,1750.05,1762361,94260
2025-08-05 09:22:45,SUNPHARMA,1761,1471028,86803
2025-08-05 09:22:50,SUNPHARMA,1784,1182084,73428
2025-08-05 09:22:55,SUNPHARMA,1790,2483162,91718
2025-08-05 09:23:00,SUNPHARMA,1754,1602232,90275
2025-08-05 09:23:05,SUNPHARMA,1732.65,2167448,104318
2025-08-05 09:23:10,SUNPHARMA,1748.75,2730980,92703
2025-08-05 09:23:15,SUNPHARMA,1703.9,2588408,126527
2025-08-05 09:23:20,SUNPHARMA,1679.85,1666929,99956
2025-08-05 09:23:25,SUNPHARMA,1675,2389362,123342
2025-08-05 09:23:30,SUNPHARMA,1657,3325416,118882
2025-08-05 09:23:35,SUNPHARMA,1610,1600589,70049
2025-08-05 09:23:40,SUNPHARMA,1607,980890,51154
2025-08-05 09:23:45,SUNPHARMA,1615,2458676,162041
2025-08-05 09:23:50,SUNPHARMA,1575.4,2428171,146455
2025-08-05 09:23:55,SUNPHARMA,1565,1717135,97950
2025-08-05 09:24:00,SUNPHARMA,1584,1425492,115852
2025-08-05 09:24:05,SUNPHARMA,1590,3549979,121234
2025-08-05 09:24:10,SUNPHARMA,1642,2744489,175577
2025-08-05 09:24:15,SUNPHARMA,1611.55,2836717,170963
2025-08-05 09:24:20,SUNPHARMA,1636.85,2357441,156933
2025-08-05 09:24:25,SUNPHARMA,1638,2244190,94096
2025-08-05 09:24:30,SUNPHARMA,1671,1670915,68447
2025-08-05 09:24:35,SUNPHARMA,1677.65,2576319,115915
2025-08-05 09:24:40,SUNPHARMA,1699.95,2163972,92879
2025-08-05 09:24:45,SUNPHARMA,1711.15,2277889,139350
2025-08-05 09:24:50,SUNPHARMA,1702,2123774,112475
2025-08-05 09:24:55,SUNPHARMA,1745,2750390,166093
2025-08-05 09:25:00,SUNPHARMA,1690.05,1757284,115784
2025-08-05 09:25:05,SUNPHARMA,1701.6,2779274,125678
2025-08-05 09:25:10,SUNPHARMA,1733.85,1237839,74098
2025-08-05 09:25:15,SUNPHARMA,1745.9,1371545,112551
2025-08-05 09:25:20,SUNPHARMA,1747,3421791,135591
2025-08-05 09:25:25,SUNPHARMA,1753,1787905,135779
2025-08-05 09:25:30,SUNPHARMA,1759.35,2796294,137826
2025-08-05 09:25:35,SUNPHARMA,1737.85,2210231,109211
2025-08-05 09:25:40,SUNPHARMA,1747.15,1477972,63080
2025-08-05 09:25:45,SUNPHARMA,1752.85,4275269,153868
2025-08-05 09:25:50,SUNPHARMA,1737.15,2017991,111431
2025-08-05 09:25:55,SUNPHARMA,1742.45,1433336,108718
2025-08-05 09:26:00,SUNPHARMA,1711,5972497,242788
2025-08-05 09:26:05,SUNPHARMA,1787.95,1452975,79585
2025-08-05 09:26:10,SUNPHARMA,1818,1277935,97990
2025-08-05 09:26:15,SUNPHARMA,1839,1974760,108457
2025-08-05 09:26:20,SUNPHARMA,1794,2262270,152791
2025-08-05 09:26:25,SUNPHARMA,1764.4,2489267,219225
2025-08-05 09:26:30,SUNPHARMA,1773,1341246,105815
2025-08-05 09:26:35,SUNPHARMA,1789.5,1163986,140164
2025-08-05 09:26:40,SUNPHARMA,1770,2180496,117647
2025-08-05 09:26:45,SUNPHARMA,1759,857867,115106
2025-08-05 09:26:50,SUNPHARMA,1774.5,1962645,110439
2025-08-05 09:26:55,SUNPHARMA,1746.7,1645287,108552
2025-08-05 09:27:00,SUNPHARMA,1788,857827,81728
2025-08-05 09:27:05,SUNPHARMA,1830.05,1199181,89141
2025-08-05 09:27:10,SUNPHARMA,1832.8,1298188,88906
2025-08-05 09:27:15,SUNPHARMA,1852,1615649,88612
2025-08-05 09:27:20,SUNPHARMA,1849.2,1397724,90738
2025-08-05 09:27:25,SUNPHARMA,1848.65,1515825,95862
2025-08-05 09:27:30,SUNPHARMA,1874.1,2507223,131175
2025-08-05 09:27:35,SUNPHARMA,1894,1338092,100504
2025-08-05 09:27:40,SUNPHARMA,1890,1844944,120055
2025-08-05 09:27:45,SUNPHARMA,1871.35,6021550,159547
2025-08-05 09:27:50,SUNPHARMA,1864.55,1668898,85991
2025-08-05 09:27:55,SUNPHARMA,1845.05,1402706,83247
2025-08-05 09:28:00,SUNPHARMA,1817.1,1121058,54616
2025-08-05 09:28:05,SUNPHARMA,1816,1299181,87238
2025-08-05 09:28:10,SUNPHARMA,1810,2513418,93747
2025-08-05 09:28:15,SUNPHARMA,1821.3,1924091,86354
