trading_time,symbol,ltp,volume,num_trades
2025-08-05 09:15:00,WIPRO,239.33,8922847,79296
2025-08-05 09:15:05,WIPRO,242.8,6190830,85305
2025-08-05 09:15:10,WIPRO,239.75,7700190,103533
2025-08-05 09:15:15,WIPRO,245.45,7383968,64537
2025-08-05 09:15:20,WIPRO,245.8,5234393,64857
2025-08-05 09:15:25,WIPRO,242.38,7436999,99441
2025-08-05 09:15:30,WIPRO,248.25,7338764,84657
2025-08-05 09:15:35,WIPRO,250.25,6057152,63965
2025-08-05 09:15:40,WIPRO,251.35,12923128,87366
2025-08-05 09:15:45,WIPRO,250.2,8998911,122372
2025-08-05 09:15:50,WIPRO,259.7,8427780,96017
2025-08-05 09:15:55,WIPRO,262.2,8139900,70205
2025-08-05 09:16:00,WIPRO,261,6510321,56622
2025-08-05 09:16:05,WIPRO,260.1,6724044,68578
2025-08-05 09:16:10,WIPRO,260.9,12190000,105649
2025-08-05 09:16:15,WIPRO,266.35,30319126,206966
2025-08-05 09:16:20,WIPRO,258.75,7484171,76199
2025-08-05 09:16:25,WIPRO,263,12179338,84066
2025-08-05 09:16:30,WIPRO,257.5,8750149,83644
2025-08-05 09:16:35,WIPRO,254.25,10388421,111556
2025-08-05 09:16:40,WIPRO,258.1,13109857,106302
2025-08-05 09:16:45,WIPRO,265.1,6911031,70245
2025-08-05 09:16:50,WIPRO,267.3,11564433,82512
2025-08-05 09:16:55,WIPRO,269.75,5519016,61212
2025-08-05 09:17:00,WIPRO,267.8,4849218,45796
2025-08-05 09:17:05,WIPRO,269.45,7141779,56595
2025-08-05 09:17:10,WIPRO,267.2,9357962,116740
2025-08-05 09:17:15,WIPRO,267.15,8750887,77570
2025-08-05 09:17:20,WIPRO,264.3,3886095,58198
2025-08-05 09:17:25,WIPRO,266.49,7119563,101877
2025-08-05 09:17:30,WIPRO,265.4,8906108,112283
2025-08-05 09:17:35,WIPRO,268,8564099,87330
2025-08-05 09:17:40,WIPRO,269.15,5331739,72178
2025-08-05 09:17:45,WIPRO,264.89,6319428,70987
2025-08-05 09:17:50,WIPRO,263.5,6214062,64958
2025-08-05 09:17:55,WIPRO,265.8,12904674,76477
2025-08-05 09:18:00,WIPRO,265,14184486,145765
2025-08-05 09:18:05,WIPRO,261.85,5016660,56803
2025-08-05 09:18:10,WIPRO,262.9,7528454,89577
2025-08-05 09:18:15,WIPRO,262.8,10935361,91234
2025-08-05 09:18:20,WIPRO,260.59,8692116,95629
2025-08-05 09:18:25,WIPRO,259.06,14528657,125900
2025-08-05 09:18:30,WIPRO,259,17268454,125033
2025-08-05 09:18:35,WIPRO,254.69,10739851,119143
2025-08-05 09:18:40,WIPRO,251.72,9193904,101064
2025-08-05 09:18:45,WIPRO,248.5,4445411,65205
2025-08-05 09:18:50,WIPRO,248.2,6468060,68321
2025-08-05 09:18:55,WIPRO,247.05,6698150,94039
2025-08-05 09:19:00,WIPRO,246.47,8573438,132360
2025-08-05 09:19:05,WIPRO,247.58,5846259,90742
2025-08-05 09:19:10,WIPRO,249.6,13858429,79659
2025-08-05 09:19:15,WIPRO,250.52,11785042,113827
2025-08-05 09:19:20,WIPRO,247.5,6205160,57452
2025-08-05 09:19:25,WIPRO,248.35,6861143,69257
2025-08-05 09:19:30,WIPRO,250.25,3690751,47579
2025-08-05 09:19:35,WIPRO,247.8,7437642,62388
2025-08-05 09:19:40,WIPRO,246.05,11469037,134939
2025-08-05 09:19:45,WIPRO,250.78,5313593,84857
2025-08-05 09:19:50,WIPRO,250.2,9366429,74602
2025-08-05 09:19:55,WIPRO,251.55,6788784,84813
